coral,sym,treatment,day,behaviour,genotype
AT2,B,Control,2,4,T
AR1,B,Control,2,5,R
AO2,B,Control,2,5,O
AM3,B,Control,2,5,M
AJ4,B,Control,2,5,J
AF1,B,Control,2,5,F
AP2,W,Control,2,5,P
AH2,W,Control,2,5,H
AA4,W,Control,2,5,A
AD2,W,Control,2,5,D
AE4,W,Control,2,5,E
AT3,B,Control,2,5,T
AS4,B,Control,2,5,S
AQ5,B,Control,2,5,Q
AN5,B,Control,2,5,N
AJ7,B,Control,2,5,J
AF2,B,Control,2,5,F
AB1,B,Control,2,5,B
AK5,W,Control,2,5,K
AC3,W,Control,2,4,C
AD3,W,Control,2,3,D
AE6,W,Control,2,4,E
AS1,B,Control,2,5,S
AR5,B,Control,2,5,R
AN3,B,Control,2,5,N
AL3,B,Control,2,5,L
AI1,B,Control,2,5,I
AB6,B,Control,2,5,B
AP3,W,Control,2,4,P
AC4,W,Control,2,5,C
AD4,W,Control,2,4,D
AG2,W,Control,2,5,G
AT6,B,Heat,2,5,T
AS3,B,Heat,2,5,S
AO3,B,Heat,2,5,O
AM2,B,Heat,2,5,M
AJ5,B,Heat,2,5,J
AF4,B,Heat,2,5,F
AB3,B,Heat,2,5,B
AH4,W,Heat,2,5,H
AA2,W,Heat,2,5,A
AD1,W,Heat,2,5,D
AE5,W,Heat,2,5,E
AS6,B,Heat,2,5,S
AQ3,B,Heat,2,5,Q
AL2,B,Heat,2,5,L
AJ3,B,Heat,2,5,J
AI3,B,Heat,2,5,I
AB4,B,Heat,2,5,B
AK2,W,Heat,2,5,K
AC1,W,Heat,2,5,C
AD5,W,Heat,2,5,D
AG1,W,Heat,2,5,G
AT1,B,Heat,2,5,T
AR4,B,Heat,2,5,R
AN1,B,Heat,2,5,N
AQ1,B,Heat,2,5,Q
AI2,B,Heat,2,5,I
AF3,B,Heat,2,5,F
AP4,W,Heat,2,5,P
AC6,W,Heat,2,5,C
AE3,W,Heat,2,5,E
AH1,W,Heat,2,5,H
AJ6,B,Cold,2,5,J
AF5,B,Cold,2,4,F
AB2,B,Cold,2,5,B
AH3,W,Cold,2,4,H
AA3,W,Cold,2,5,A
AD6,W,Cold,2,5,D
AE1,W,Cold,2,4,E
AM1,B,Cold,2,5,M
AO5,B,Cold,2,5,O
AR2,B,Cold,2,5,R
AT5,B,Cold,2,5,T
AJ1,B,Cold,2,5,J
AI5,B,Cold,2,5,I
AB5,B,Cold,2,5,B
AK3,W,Cold,2,5,K
AC2,W,Cold,2,5,C
AD8,W,Cold,2,4,D
AG4,W,Cold,2,4,G
AL1,B,Cold,2,5,L
AQ6,B,Cold,2,5,Q
AS5,B,Cold,2,5,S
AT4,B,Cold,2,5,T
AJ2,B,Cold,2,5,J
AI4,B,Cold,2,5,I
AF8,B,Cold,2,5,F
AP1,W,Cold,2,5,P
AC5,W,Cold,2,5,C
AE2,W,Cold,2,4,E
AG3,W,Cold,2,5,G
AN2,B,Cold,2,5,N
AR3,B,Cold,2,5,R
AS2,B,Cold,2,4,S
AT2,B,Control,3,3,T
AR1,B,Control,3,5,R
AO2,B,Control,3,4,O
AM3,B,Control,3,5,M
AJ4,B,Control,3,4,J
AF1,B,Control,3,5,F
AP2,W,Control,3,5,P
AH2,W,Control,3,5,H
AA4,W,Control,3,3,A
AD2,W,Control,3,5,D
AE4,W,Control,3,4,E
AT3,B,Control,3,5,T
AS4,B,Control,3,5,S
AQ5,B,Control,3,5,Q
AN5,B,Control,3,5,N
AJ7,B,Control,3,5,J
AF2,B,Control,3,4,F
AB1,B,Control,3,5,B
AK5,W,Control,3,5,K
AC3,W,Control,3,5,C
AD3,W,Control,3,4,D
AE6,W,Control,3,5,E
AS1,B,Control,3,5,S
AR5,B,Control,3,5,R
AN3,B,Control,3,5,N
AL3,B,Control,3,5,L
AI1,B,Control,3,4,I
AB6,B,Control,3,5,B
AP3,W,Control,3,4,P
AC4,W,Control,3,5,C
AD4,W,Control,3,5,D
AG2,W,Control,3,5,G
AT6,B,Heat,3,5,T
AS3,B,Heat,3,5,S
AO3,B,Heat,3,5,O
AM2,B,Heat,3,5,M
AJ5,B,Heat,3,5,J
AF4,B,Heat,3,5,F
AB3,B,Heat,3,5,B
AH4,W,Heat,3,5,H
AA2,W,Heat,3,4,A
AD1,W,Heat,3,4,D
AE5,W,Heat,3,4,E
AS6,B,Heat,3,5,S
AQ3,B,Heat,3,5,Q
AL2,B,Heat,3,5,L
AJ3,B,Heat,3,5,J
AI3,B,Heat,3,5,I
AB4,B,Heat,3,5,B
AK2,W,Heat,3,5,K
AC1,W,Heat,3,5,C
AD5,W,Heat,3,5,D
AG1,W,Heat,3,5,G
AT1,B,Heat,3,5,T
AR4,B,Heat,3,5,R
AN1,B,Heat,3,5,N
AQ1,B,Heat,3,5,Q
AI2,B,Heat,3,5,I
AF3,B,Heat,3,5,F
AP4,W,Heat,3,5,P
AC6,W,Heat,3,5,C
AE3,W,Heat,3,4,E
AH1,W,Heat,3,5,H
AJ6,B,Cold,3,5,J
AF5,B,Cold,3,5,F
AB2,B,Cold,3,5,B
AH3,W,Cold,3,5,H
AA3,W,Cold,3,5,A
AD6,W,Cold,3,5,D
AE1,W,Cold,3,5,E
AM1,B,Cold,3,5,M
AO5,B,Cold,3,5,O
AR2,B,Cold,3,5,R
AT5,B,Cold,3,5,T
AJ1,B,Cold,3,5,J
AI5,B,Cold,3,5,I
AB5,B,Cold,3,5,B
AK3,W,Cold,3,5,K
AC2,W,Cold,3,5,C
AD8,W,Cold,3,5,D
AG4,W,Cold,3,5,G
AL1,B,Cold,3,5,L
AQ6,B,Cold,3,5,Q
AS5,B,Cold,3,5,S
AT4,B,Cold,3,5,T
AJ2,B,Cold,3,5,J
AI4,B,Cold,3,5,I
AF8,B,Cold,3,5,F
AP1,W,Cold,3,5,P
AC5,W,Cold,3,5,C
AE2,W,Cold,3,5,E
AG3,W,Cold,3,5,G
AN2,B,Cold,3,5,N
AR3,B,Cold,3,5,R
AS2,B,Cold,3,5,S
AT2,B,Control,4,5,T
AR1,B,Control,4,5,R
AO2,B,Control,4,5,O
AM3,B,Control,4,5,M
AJ4,B,Control,4,5,J
AF1,B,Control,4,5,F
AP2,W,Control,4,5,P
AH2,W,Control,4,5,H
AA4,W,Control,4,5,A
AD2,W,Control,4,5,D
AE4,W,Control,4,5,E
AT3,B,Control,4,5,T
AS4,B,Control,4,5,S
AQ5,B,Control,4,5,Q
AN5,B,Control,4,5,N
AJ7,B,Control,4,5,J
AF2,B,Control,4,5,F
AB1,B,Control,4,5,B
AK5,W,Control,4,5,K
AC3,W,Control,4,5,C
AD3,W,Control,4,4,D
AE6,W,Control,4,5,E
AS1,B,Control,4,5,S
AR5,B,Control,4,5,R
AN3,B,Control,4,5,N
AL3,B,Control,4,5,L
AI1,B,Control,4,5,I
AB6,B,Control,4,5,B
AP3,W,Control,4,4,P
AC4,W,Control,4,5,C
AD4,W,Control,4,4,D
AG2,W,Control,4,5,G
AT6,B,Heat,4,5,T
AS3,B,Heat,4,5,S
AO3,B,Heat,4,5,O
AM2,B,Heat,4,5,M
AJ5,B,Heat,4,5,J
AF4,B,Heat,4,5,F
AB3,B,Heat,4,5,B
AH4,W,Heat,4,5,H
AA2,W,Heat,4,5,A
AD1,W,Heat,4,5,D
AE5,W,Heat,4,5,E
AS6,B,Heat,4,5,S
AQ3,B,Heat,4,5,Q
AL2,B,Heat,4,5,L
AJ3,B,Heat,4,5,J
AI3,B,Heat,4,5,I
AB4,B,Heat,4,5,B
AK2,W,Heat,4,5,K
AC1,W,Heat,4,5,C
AD5,W,Heat,4,5,D
AG1,W,Heat,4,5,G
AT1,B,Heat,4,5,T
AR4,B,Heat,4,5,R
AN1,B,Heat,4,5,N
AQ1,B,Heat,4,5,Q
AI2,B,Heat,4,5,I
AF3,B,Heat,4,5,F
AP4,W,Heat,4,5,P
AC6,W,Heat,4,5,C
AE3,W,Heat,4,5,E
AH1,W,Heat,4,5,H
AJ6,B,Cold,4,5,J
AF5,B,Cold,4,5,F
AB2,B,Cold,4,5,B
AH3,W,Cold,4,5,H
AA3,W,Cold,4,5,A
AD6,W,Cold,4,4,D
AE1,W,Cold,4,5,E
AM1,B,Cold,4,5,M
AO5,B,Cold,4,5,O
AR2,B,Cold,4,5,R
AT5,B,Cold,4,5,T
AJ1,B,Cold,4,4,J
AI5,B,Cold,4,5,I
AB5,B,Cold,4,5,B
AK3,W,Cold,4,5,K
AC2,W,Cold,4,5,C
AD8,W,Cold,4,5,D
AG4,W,Cold,4,5,G
AL1,B,Cold,4,5,L
AQ6,B,Cold,4,5,Q
AS5,B,Cold,4,5,S
AT4,B,Cold,4,5,T
AJ2,B,Cold,4,5,J
AI4,B,Cold,4,5,I
AF8,B,Cold,4,5,F
AP1,W,Cold,4,5,P
AC5,W,Cold,4,5,C
AE2,W,Cold,4,5,E
AG3,W,Cold,4,5,G
AN2,B,Cold,4,5,N
AR3,B,Cold,4,5,R
AS2,B,Cold,4,5,S
AT2,B,Control,5,5,T
AR1,B,Control,5,5,R
AO2,B,Control,5,5,O
AM3,B,Control,5,5,M
AJ4,B,Control,5,5,J
AF1,B,Control,5,5,F
AP2,W,Control,5,5,P
AH2,W,Control,5,5,H
AA4,W,Control,5,5,A
AD2,W,Control,5,5,D
AE4,W,Control,5,5,E
AT3,B,Control,5,5,T
AS4,B,Control,5,5,S
AQ5,B,Control,5,5,Q
AN5,B,Control,5,5,N
AJ7,B,Control,5,5,J
AF2,B,Control,5,5,F
AB1,B,Control,5,5,B
AK5,W,Control,5,5,K
AC3,W,Control,5,5,C
AD3,W,Control,5,4,D
AE6,W,Control,5,5,E
AS1,B,Control,5,5,S
AR5,B,Control,5,5,R
AN3,B,Control,5,5,N
AL3,B,Control,5,5,L
AI1,B,Control,5,5,I
AB6,B,Control,5,5,B
AP3,W,Control,5,4,P
AC4,W,Control,5,5,C
AD4,W,Control,5,5,D
AG2,W,Control,5,5,G
AT6,B,Heat,5,5,T
AS3,B,Heat,5,5,S
AO3,B,Heat,5,5,O
AM2,B,Heat,5,5,M
AJ5,B,Heat,5,5,J
AF4,B,Heat,5,5,F
AB3,B,Heat,5,5,B
AH4,W,Heat,5,5,H
AA2,W,Heat,5,4,A
AD1,W,Heat,5,5,D
AE5,W,Heat,5,5,E
AS6,B,Heat,5,5,S
AQ3,B,Heat,5,5,Q
AL2,B,Heat,5,5,L
AJ3,B,Heat,5,5,J
AI3,B,Heat,5,5,I
AB4,B,Heat,5,5,B
AK2,W,Heat,5,5,K
AC1,W,Heat,5,5,C
AD5,W,Heat,5,5,D
AG1,W,Heat,5,5,G
AT1,B,Heat,5,5,T
AR4,B,Heat,5,5,R
AN1,B,Heat,5,5,N
AQ1,B,Heat,5,5,Q
AI2,B,Heat,5,5,I
AF3,B,Heat,5,5,F
AP4,W,Heat,5,5,P
AC6,W,Heat,5,5,C
AE3,W,Heat,5,4,E
AH1,W,Heat,5,5,H
AJ6,B,Cold,5,5,J
AF5,B,Cold,5,5,F
AB2,B,Cold,5,5,B
AH3,W,Cold,5,5,H
AA3,W,Cold,5,5,A
AD6,W,Cold,5,5,D
AE1,W,Cold,5,5,E
AM1,B,Cold,5,5,M
AO5,B,Cold,5,5,O
AR2,B,Cold,5,5,R
AT5,B,Cold,5,5,T
AJ1,B,Cold,5,5,J
AI5,B,Cold,5,5,I
AB5,B,Cold,5,5,B
AK3,W,Cold,5,5,K
AC2,W,Cold,5,5,C
AD8,W,Cold,5,5,D
AG4,W,Cold,5,5,G
AL1,B,Cold,5,5,L
AQ6,B,Cold,5,5,Q
AS5,B,Cold,5,5,S
AT4,B,Cold,5,5,T
AJ2,B,Cold,5,5,J
AI4,B,Cold,5,5,I
AF8,B,Cold,5,5,F
AP1,W,Cold,5,5,P
AC5,W,Cold,5,5,C
AE2,W,Cold,5,5,E
AG3,W,Cold,5,5,G
AN2,B,Cold,5,5,N
AR3,B,Cold,5,5,R
AS2,B,Cold,5,5,S
AT2,B,Control,6,5,T
AR1,B,Control,6,5,R
AO2,B,Control,6,5,O
AM3,B,Control,6,5,M
AJ4,B,Control,6,5,J
AF1,B,Control,6,5,F
AP2,W,Control,6,5,P
AH2,W,Control,6,5,H
AA4,W,Control,6,5,A
AD2,W,Control,6,5,D
AE4,W,Control,6,4,E
AT3,B,Control,6,5,T
AS4,B,Control,6,5,S
AQ5,B,Control,6,5,Q
AN5,B,Control,6,5,N
AJ7,B,Control,6,5,J
AF2,B,Control,6,5,F
AB1,B,Control,6,5,B
AK5,W,Control,6,5,K
AC3,W,Control,6,5,C
AD3,W,Control,6,5,D
AE6,W,Control,6,4,E
AS1,B,Control,6,5,S
AR5,B,Control,6,5,R
AN3,B,Control,6,5,N
AL3,B,Control,6,5,L
AI1,B,Control,6,5,I
AB6,B,Control,6,5,B
AP3,W,Control,6,4,P
AC4,W,Control,6,5,C
AD4,W,Control,6,5,D
AG2,W,Control,6,5,G
AT6,B,Heat,6,5,T
AS3,B,Heat,6,5,S
AO3,B,Heat,6,5,O
AM2,B,Heat,6,5,M
AJ5,B,Heat,6,5,J
AF4,B,Heat,6,5,F
AB3,B,Heat,6,5,B
AH4,W,Heat,6,5,H
AA2,W,Heat,6,5,A
AD1,W,Heat,6,5,D
AE5,W,Heat,6,5,E
AS6,B,Heat,6,5,S
AQ3,B,Heat,6,5,Q
AL2,B,Heat,6,5,L
AJ3,B,Heat,6,5,J
AI3,B,Heat,6,5,I
AB4,B,Heat,6,5,B
AK2,W,Heat,6,5,K
AC1,W,Heat,6,5,C
AD5,W,Heat,6,5,D
AG1,W,Heat,6,5,G
AT1,B,Heat,6,5,T
AR4,B,Heat,6,5,R
AN1,B,Heat,6,5,N
AQ1,B,Heat,6,5,Q
AI2,B,Heat,6,5,I
AF3,B,Heat,6,5,F
AP4,W,Heat,6,5,P
AC6,W,Heat,6,5,C
AE3,W,Heat,6,5,E
AH1,W,Heat,6,5,H
AJ6,B,Cold,6,4,J
AF5,B,Cold,6,5,F
AB2,B,Cold,6,5,B
AH3,W,Cold,6,5,H
AA3,W,Cold,6,4,A
AD6,W,Cold,6,5,D
AE1,W,Cold,6,5,E
AM1,B,Cold,6,5,M
AO5,B,Cold,6,5,O
AR2,B,Cold,6,5,R
AT5,B,Cold,6,5,T
AJ1,B,Cold,6,4,J
AI5,B,Cold,6,5,I
AB5,B,Cold,6,5,B
AK3,W,Cold,6,5,K
AC2,W,Cold,6,5,C
AD8,W,Cold,6,5,D
AG4,W,Cold,6,5,G
AL1,B,Cold,6,5,L
AQ6,B,Cold,6,5,Q
AS5,B,Cold,6,5,S
AT4,B,Cold,6,5,T
AJ2,B,Cold,6,5,J
AI4,B,Cold,6,5,I
AF8,B,Cold,6,5,F
AP1,W,Cold,6,5,P
AC5,W,Cold,6,4,C
AE2,W,Cold,6,5,E
AG3,W,Cold,6,5,G
AN2,B,Cold,6,5,N
AR3,B,Cold,6,5,R
AS2,B,Cold,6,5,S
AT2,B,Control,7,5,T
AR1,B,Control,7,5,R
AO2,B,Control,7,5,O
AM3,B,Control,7,5,M
AJ4,B,Control,7,5,J
AF1,B,Control,7,5,F
AP2,W,Control,7,5,P
AH2,W,Control,7,5,H
AA4,W,Control,7,4,A
AD2,W,Control,7,5,D
AE4,W,Control,7,4,E
AT3,B,Control,7,5,T
AS4,B,Control,7,5,S
AQ5,B,Control,7,5,Q
AN5,B,Control,7,5,N
AJ7,B,Control,7,5,J
AF2,B,Control,7,5,F
AB1,B,Control,7,5,B
AK5,W,Control,7,5,K
AC3,W,Control,7,5,C
AD3,W,Control,7,5,D
AE6,W,Control,7,5,E
AS1,B,Control,7,5,S
AR5,B,Control,7,5,R
AN3,B,Control,7,5,N
AL3,B,Control,7,5,L
AI1,B,Control,7,5,I
AB6,B,Control,7,5,B
AP3,W,Control,7,5,P
AC4,W,Control,7,5,C
AD4,W,Control,7,5,D
AG2,W,Control,7,5,G
AT6,B,Heat,7,5,T
AS3,B,Heat,7,5,S
AO3,B,Heat,7,4,O
AM2,B,Heat,7,5,M
AJ5,B,Heat,7,5,J
AF4,B,Heat,7,5,F
AB3,B,Heat,7,5,B
AH4,W,Heat,7,5,H
AA2,W,Heat,7,5,A
AD1,W,Heat,7,5,D
AE5,W,Heat,7,5,E
AS6,B,Heat,7,4,S
AQ3,B,Heat,7,5,Q
AL2,B,Heat,7,4,L
AJ3,B,Heat,7,5,J
AI3,B,Heat,7,5,I
AB4,B,Heat,7,5,B
AK2,W,Heat,7,5,K
AC1,W,Heat,7,5,C
AD5,W,Heat,7,4,D
AG1,W,Heat,7,5,G
AT1,B,Heat,7,5,T
AR4,B,Heat,7,5,R
AN1,B,Heat,7,4,N
AQ1,B,Heat,7,5,Q
AI2,B,Heat,7,5,I
AF3,B,Heat,7,5,F
AP4,W,Heat,7,5,P
AC6,W,Heat,7,5,C
AE3,W,Heat,7,5,E
AH1,W,Heat,7,5,H
AJ6,B,Cold,7,5,J
AF5,B,Cold,7,5,F
AB2,B,Cold,7,5,B
AH3,W,Cold,7,5,H
AA3,W,Cold,7,4,A
AD6,W,Cold,7,5,D
AE1,W,Cold,7,5,E
AM1,B,Cold,7,5,M
AO5,B,Cold,7,5,O
AR2,B,Cold,7,5,R
AT5,B,Cold,7,5,T
AJ1,B,Cold,7,4,J
AI5,B,Cold,7,5,I
AB5,B,Cold,7,5,B
AK3,W,Cold,7,5,K
AC2,W,Cold,7,5,C
AD8,W,Cold,7,5,D
AG4,W,Cold,7,5,G
AL1,B,Cold,7,5,L
AQ6,B,Cold,7,5,Q
AS5,B,Cold,7,5,S
AT4,B,Cold,7,5,T
AJ2,B,Cold,7,5,J
AI4,B,Cold,7,4,I
AF8,B,Cold,7,4,F
AP1,W,Cold,7,3,P
AC5,W,Cold,7,5,C
AE2,W,Cold,7,5,E
AG3,W,Cold,7,5,G
AN2,B,Cold,7,4,N
AR3,B,Cold,7,5,R
AS2,B,Cold,7,5,S
AT2,B,Control,8,5,T
AR1,B,Control,8,5,R
AO2,B,Control,8,5,O
AM3,B,Control,8,5,M
AJ4,B,Control,8,5,J
AF1,B,Control,8,5,F
AP2,W,Control,8,5,P
AH2,W,Control,8,5,H
AA4,W,Control,8,4,A
AD2,W,Control,8,5,D
AE4,W,Control,8,5,E
AT3,B,Control,8,5,T
AS4,B,Control,8,5,S
AQ5,B,Control,8,5,Q
AN5,B,Control,8,5,N
AJ7,B,Control,8,5,J
AF2,B,Control,8,5,F
AB1,B,Control,8,5,B
AK5,W,Control,8,5,K
AC3,W,Control,8,5,C
AD3,W,Control,8,5,D
AE6,W,Control,8,5,E
AS1,B,Control,8,5,S
AR5,B,Control,8,5,R
AN3,B,Control,8,5,N
AL3,B,Control,8,5,L
AI1,B,Control,8,5,I
AB6,B,Control,8,5,B
AP3,W,Control,8,4,P
AC4,W,Control,8,5,C
AD4,W,Control,8,5,D
AG2,W,Control,8,5,G
AT6,B,Heat,8,5,T
AS3,B,Heat,8,5,S
AO3,B,Heat,8,5,O
AM2,B,Heat,8,5,M
AJ5,B,Heat,8,5,J
AF4,B,Heat,8,5,F
AB3,B,Heat,8,5,B
AH4,W,Heat,8,5,H
AA2,W,Heat,8,4,A
AD1,W,Heat,8,5,D
AE5,W,Heat,8,5,E
AS6,B,Heat,8,5,S
AQ3,B,Heat,8,5,Q
AL2,B,Heat,8,5,L
AJ3,B,Heat,8,5,J
AI3,B,Heat,8,5,I
AB4,B,Heat,8,5,B
AK2,W,Heat,8,5,K
AC1,W,Heat,8,5,C
AD5,W,Heat,8,5,D
AG1,W,Heat,8,5,G
AT1,B,Heat,8,5,T
AR4,B,Heat,8,5,R
AN1,B,Heat,8,5,N
