coral,genotype,Tank,Sym Status,Treatment,Day,Temperature,PAM
AT2,T,control_1,B,Control,2,18,0.38
AR1,R,control_1,B,Control,2,18,0.515666667
AO2,O,control_1,B,Control,2,18,0.481666667
AM3,M,control_1,B,Control,2,18,0.499666667
AJ4,J,control_1,B,Control,2,18,0.439666667
AF1,F,control_1,B,Control,2,18,0.465
AP2,P,control_1,W,Control,2,18,0.391333333
AH2,H,control_1,W,Control,2,18,0.372333333
AA4,A,control_1,W,Control,2,18,0.442333333
AD2,D,control_1,W,Control,2,18,0.199
AE4,E,control_1,W,Control,2,18,0.356666667
AT3,T,control_2,B,Control,2,18,0.367
AS4,S,control_2,B,Control,2,18,0.398333333
AQ5,Q,control_2,B,Control,2,18,0.53
AN5,N,control_2,B,Control,2,18,0.465
AJ7,J,control_2,B,Control,2,18,0.472
AF2,F,control_2,B,Control,2,18,0.477333333
AB1,B,control_2,B,Control,2,18,0.413
AK5,K,control_2,W,Control,2,18,0.607333333
AC3,C,control_2,W,Control,2,18,0.454
AD3,D,control_2,W,Control,2,18,0.358666667
AE6,E,control_2,W,Control,2,18,0.344
AS1,S,control_3,B,Control,2,18,0.375333333
AR5,R,control_3,B,Control,2,18,0.483
AN3,N,control_3,B,Control,2,18,0.335333333
AL3,L,control_3,B,Control,2,18,0.481333333
AI1,I,control_3,B,Control,2,18,0.361333333
AB6,B,control_3,B,Control,2,18,0.464666667
AP3,P,control_3,W,Control,2,18,0.490666667
AC4,C,control_3,W,Control,2,18,0.403333333
AD4,D,control_3,W,Control,2,18,0.449333333
AG2,G,control_3,W,Control,2,18,0.383666667
AT6,T,heat_1,B,Heat,2,20,0.520333333
AS3,S,heat_1,B,Heat,2,20,0.453
AO3,O,heat_1,B,Heat,2,20,0.444
AM2,M,heat_1,B,Heat,2,20,0.354333333
AJ5,J,heat_1,B,Heat,2,20,0.469666667
AF4,F,heat_1,B,Heat,2,20,0.423666667
AB3,B,heat_1,B,Heat,2,20,0.477
AH4,H,heat_1,W,Heat,2,20,0.392
AA2,A,heat_1,W,Heat,2,20,0.391666667
AD1,D,heat_1,W,Heat,2,20,0.401666667
AE5,E,heat_1,W,Heat,2,20,0.493333333
AS6,S,heat_2,B,Heat,2,20,0.472333333
AQ3,Q,heat_2,B,Heat,2,20,0.498333333
AL2,L,heat_2,B,Heat,2,20,0.606666667
AJ3,J,heat_2,B,Heat,2,20,0.432
AI3,I,heat_2,B,Heat,2,20,0.120666667
AB4,B,heat_2,B,Heat,2,20,0.339666667
AK2,K,heat_2,W,Heat,2,20,0.335666667
AC1,C,heat_2,W,Heat,2,20,0.466666667
AD5,D,heat_2,W,Heat,2,20,0.439666667
AG1,G,heat_2,W,Heat,2,20,0.369333333
AT1,T,heat_3,B,Heat,2,20,0.442333333
AR4,R,heat_3,B,Heat,2,20,0.445666667
AN1,N,heat_3,B,Heat,2,20,0.589333333
AQ1,Q,heat_3,B,Heat,2,20,0.429
AI2,I,heat_3,B,Heat,2,20,0.617333333
AF3,F,heat_3,B,Heat,2,20,0.466666667
AP4,P,heat_3,W,Heat,2,20,0.442333333
AC6,C,heat_3,W,Heat,2,20,0.344333333
AE3,E,heat_3,W,Heat,2,20,0.489
AH1,H,heat_3,W,Heat,2,20,0.430333333
AJ6,J,cold_1,B,Cold,2,16,0.369333333
AF5,F,cold_1,B,Cold,2,16,0.386
AB2,B,cold_1,B,Cold,2,16,0.384666667
AH3,H,cold_1,W,Cold,2,16,0.456333333
AA3,A,cold_1,W,Cold,2,16,0.372666667
AD6,D,cold_1,W,Cold,2,16,0.398666667
AE1,E,cold_1,W,Cold,2,16,0.449666667
AM1,M,cold_1,B,Cold,2,16,0.492
AO5,O,cold_1,B,Cold,2,16,0.504
AR2,R,cold_1,B,Cold,2,16,0.440666667
AT5,T,cold_1,B,Cold,2,16,0.53
AJ1,J,cold_2,B,Cold,2,16,0.403
AI5,I,cold_2,B,Cold,2,16,0.207666667
AB5,B,cold_2,B,Cold,2,16,0.493
AK3,K,cold_2,W,Cold,2,16,0.421666667
AC2,C,cold_2,W,Cold,2,16,0.483
AD8,D,cold_2,W,Cold,2,16,0.420333333
AG4,G,cold_2,W,Cold,2,16,0.417666667
AL1,L,cold_2,B,Cold,2,16,0.440666667
AQ6,Q,cold_2,B,Cold,2,16,0.494
AS5,S,cold_2,B,Cold,2,16,0.357333333
AT4,T,cold_2,B,Cold,2,16,0.448333333
AJ2,J,cold_3,B,Cold,2,16,0.505
AI4,I,cold_3,B,Cold,2,16,0.373
AF8,F,cold_3,B,Cold,2,16,0.409333333
AP1,P,cold_3,W,Cold,2,16,0.364
AC5,C,cold_3,W,Cold,2,16,0.389
AE2,E,cold_3,W,Cold,2,16,0.384
AG3,G,cold_3,W,Cold,2,16,0.437333333
AN2,N,cold_3,B,Cold,2,16,0.443666667
AR3,R,cold_3,B,Cold,2,16,0.457333333
AS2,S,cold_3,B,Cold,2,16,0.484666667
AT2,T,control_1,B,Control,5,18,0.406
AR1,R,control_1,B,Control,5,18,0.471666667
AO2,O,control_1,B,Control,5,18,0.451
AM3,M,control_1,B,Control,5,18,0.428666667
AJ4,J,control_1,B,Control,5,18,0.470333333
AF1,F,control_1,B,Control,5,18,0.535333333
AP2,P,control_1,W,Control,5,18,0.394666667
AH2,H,control_1,W,Control,5,18,0.364
AA4,A,control_1,W,Control,5,18,0.268666667
AD2,D,control_1,W,Control,5,18,0.377
AE4,E,control_1,W,Control,5,18,0.541666667
AT3,T,control_2,B,Control,5,18,0.484666667
AS4,S,control_2,B,Control,5,18,0.442
AQ5,Q,control_2,B,Control,5,18,0.426333333
AN5,N,control_2,B,Control,5,18,0.521
AJ7,J,control_2,B,Control,5,18,0.525
AF2,F,control_2,B,Control,5,18,0.441
AB1,B,control_2,B,Control,5,18,0.437333333
AK5,K,control_2,W,Control,5,18,0.603666667
AC3,C,control_2,W,Control,5,18,0.243
AD3,D,control_2,W,Control,5,18,0.498666667
AE6,E,control_2,W,Control,5,18,0.426
AS1,S,control_3,B,Control,5,18,0.421333333
AR5,R,control_3,B,Control,5,18,0.505
AN3,N,control_3,B,Control,5,18,0.457
AL3,L,control_3,B,Control,5,18,0.614333333
AI1,I,control_3,B,Control,5,18,0.251666667
AB6,B,control_3,B,Control,5,18,0.445333333
AP3,P,control_3,W,Control,5,18,0.513666667
AC4,C,control_3,W,Control,5,18,0.545
AD4,D,control_3,W,Control,5,18,0.640666667
AG2,G,control_3,W,Control,5,18,0.555666667
AT6,T,heat_1,B,Heat,5,23,0.566
AS3,S,heat_1,B,Heat,5,23,0.423
AO3,O,heat_1,B,Heat,5,23,0.511666667
AM2,M,heat_1,B,Heat,5,23,0.523
AJ5,J,heat_1,B,Heat,5,23,0.543666667
AF4,F,heat_1,B,Heat,5,23,0.479333333
AB3,B,heat_1,B,Heat,5,23,0.533333333
AH4,H,heat_1,W,Heat,5,23,0.536
AA2,A,heat_1,W,Heat,5,23,0.568333333
AD1,D,heat_1,W,Heat,5,23,0.166666667
AE5,E,heat_1,W,Heat,5,23,0.463333333
AS6,S,heat_2,B,Heat,5,23,0.383
AQ3,Q,heat_2,B,Heat,5,23,0.451
AL2,L,heat_2,B,Heat,5,23,0.513
AJ3,J,heat_2,B,Heat,5,23,0.441333333
AI3,I,heat_2,B,Heat,5,23,0.248333333
AB4,B,heat_2,B,Heat,5,23,0.416666667
AK2,K,heat_2,W,Heat,5,23,0.605666667
AC1,C,heat_2,W,Heat,5,23,0.682
AD5,D,heat_2,W,Heat,5,23,0.176666667
AG1,G,heat_2,W,Heat,5,23,0.378333333
AT1,T,heat_3,B,Heat,5,23,0.434
AR4,R,heat_3,B,Heat,5,23,0.476333333
AN1,N,heat_3,B,Heat,5,23,0.461333333
AQ1,Q,heat_3,B,Heat,5,23,0.445333333
AI2,I,heat_3,B,Heat,5,23,0.168
AF3,F,heat_3,B,Heat,5,23,0.432666667
AP4,P,heat_3,W,Heat,5,23,0.445333333
AC6,C,heat_3,W,Heat,5,23,0.454
AE3,E,heat_3,W,Heat,5,23,0.530333333
AH1,H,heat_3,W,Heat,5,23,0.499
AJ6,J,cold_1,B,Cold,5,13,0.445
AF5,F,cold_1,B,Cold,5,13,0.433666667
AB2,B,cold_1,B,Cold,5,13,0.479333333
AH3,H,cold_1,W,Cold,5,13,0.258333333
AA3,A,cold_1,W,Cold,5,13,0.611
AD6,D,cold_1,W,Cold,5,13,0.396333333
AE1,E,cold_1,W,Cold,5,13,0.436
AM1,M,cold_1,B,Cold,5,13,0.407666667
AO5,O,cold_1,B,Cold,5,13,0.415
AR2,R,cold_1,B,Cold,5,13,0.441
AT5,T,cold_1,B,Cold,5,13,0.344
AJ1,J,cold_2,B,Cold,5,13,0.487333333
AI5,I,cold_2,B,Cold,5,13,0.431333333
AB5,B,cold_2,B,Cold,5,13,0.414333333
AK3,K,cold_2,W,Cold,5,13,0.578333333
AC2,C,cold_2,W,Cold,5,13,0.392
AD8,D,cold_2,W,Cold,5,13,0.595333333
AG4,G,cold_2,W,Cold,5,13,0.423
AL1,L,cold_2,B,Cold,5,13,0.444333333
AQ6,Q,cold_2,B,Cold,5,13,0.429333333
AS5,S,cold_2,B,Cold,5,13,0.431333333
AT4,T,cold_2,B,Cold,5,13,0.482
AJ2,J,cold_3,B,Cold,5,13,0.402333333
AI4,I,cold_3,B,Cold,5,13,0.406666667
AF8,F,cold_3,B,Cold,5,13,0.511333333
AP1,P,cold_3,W,Cold,5,13,0.554
AC5,C,cold_3,W,Cold,5,13,0.381333333
AE2,E,cold_3,W,Cold,5,13,0.557
AG3,G,cold_3,W,Cold,5,13,0.354
AN2,N,cold_3,B,Cold,5,13,0.436
AR3,R,cold_3,B,Cold,5,13,0.461333333
AS2,S,cold_3,B,Cold,5,13,0.432
AT2,T,control_1,B,Control,8,18,0.538333333
AR1,R,control_1,B,Control,8,18,0.491333333
AO2,O,control_1,B,Control,8,18,0.509666667
AM3,M,control_1,B,Control,8,18,0.471666667
AJ4,J,control_1,B,Control,8,18,0.489333333
AF1,F,control_1,B,Control,8,18,0.469
AP2,P,control_1,W,Control,8,18,0.321
AH2,H,control_1,W,Control,8,18,0.452
AA4,A,control_1,W,Control,8,18,0.377
AD2,D,control_1,W,Control,8,18,0.429333333
AE4,E,control_1,W,Control,8,18,0.560333333
AT3,T,control_2,B,Control,8,18,0.467
AS4,S,control_2,B,Control,8,18,0.463333333
AQ5,Q,control_2,B,Control,8,18,0.516333333
AN5,N,control_2,B,Control,8,18,0.332333333
AJ7,J,control_2,B,Control,8,18,0.508
AF2,F,control_2,B,Control,8,18,0.391666667
AB1,B,control_2,B,Control,8,18,0.509666667
AK5,K,control_2,W,Control,8,18,0.392333333
AC3,C,control_2,W,Control,8,18,0.318333333
AD3,D,control_2,W,Control,8,18,0.440666667
AE6,E,control_2,W,Control,8,18,0.383666667
AS1,S,control_3,B,Control,8,18,0.405666667
AR5,R,control_3,B,Control,8,18,0.503333333
AN3,N,control_3,B,Control,8,18,0.407333333
AL3,L,control_3,B,Control,8,18,0.495
AI1,I,control_3,B,Control,8,18,0.409333333
AB6,B,control_3,B,Control,8,18,0.547333333
AP3,P,control_3,W,Control,8,18,0.561333333
AC4,C,control_3,W,Control,8,18,0.419666667
AD4,D,control_3,W,Control,8,18,0.659666667
AG2,G,control_3,W,Control,8,18,0.399333333
AT6,T,heat_1,B,Heat,8,26,0.466333333
AS3,S,heat_1,B,Heat,8,26,0.470333333
AO3,O,heat_1,B,Heat,8,26,0.434333333
AM2,M,heat_1,B,Heat,8,26,0.445
AJ5,J,heat_1,B,Heat,8,26,0.440333333
AF4,F,heat_1,B,Heat,8,26,0.509333333
AB3,B,heat_1,B,Heat,8,26,0.531666667
AH4,H,heat_1,W,Heat,8,26,0.466666667
AA2,A,heat_1,W,Heat,8,26,0.55
AD1,D,heat_1,W,Heat,8,26,0.354333333
AE5,E,heat_1,W,Heat,8,26,0.532666667
AS6,S,heat_2,B,Heat,8,26,0.433
AQ3,Q,heat_2,B,Heat,8,26,0.487333333
AL2,L,heat_2,B,Heat,8,26,0.492
AJ3,J,heat_2,B,Heat,8,26,0.486
AI3,I,heat_2,B,Heat,8,26,0.486666667
AB4,B,heat_2,B,Heat,8,26,0.559333333
AK2,K,heat_2,W,Heat,8,26,0.435
AC1,C,heat_2,W,Heat,8,26,0.583666667
AD5,D,heat_2,W,Heat,8,26,0.460333333
AG1,G,heat_2,W,Heat,8,26,0.300333333
AT1,T,heat_3,B,Heat,8,26,0.541333333
AR4,R,heat_3,B,Heat,8,26,0.513666667
AN1,N,heat_3,B,Heat,8,26,0.515666667
AQ1,Q,heat_3,B,Heat,8,26,0.463333333
AI2,I,heat_3,B,Heat,8,26,0.632
AF3,F,heat_3,B,Heat,8,26,0.513333333
AP4,P,heat_3,W,Heat,8,26,0.469333333
AC6,C,heat_3,W,Heat,8,26,0.459666667
AE3,E,heat_3,W,Heat,8,26,0.478333333
AH1,H,heat_3,W,Heat,8,26,0.438666667
AJ6,J,cold_1,B,Cold,8,10,0.313666667
AF5,F,cold_1,B,Cold,8,10,0.349333333
AB2,B,cold_1,B,Cold,8,10,0.341333333
AH3,H,cold_1,W,Cold,8,10,0.374666667
AA3,A,cold_1,W,Cold,8,10,0.470666667
AD6,D,cold_1,W,Cold,8,10,0.331333333
AE1,E,cold_1,W,Cold,8,10,0.267
AM1,M,cold_1,B,Cold,8,10,0.283333333
AO5,O,cold_1,B,Cold,8,10,0.449666667
AR2,R,cold_1,B,Cold,8,10,0.249333333
AT5,T,cold_1,B,Cold,8,10,0.367
AJ1,J,cold_2,B,Cold,8,10,0.397333333
AI5,I,cold_2,B,Cold,8,10,0.344
AB5,B,cold_2,B,Cold,8,10,0.346
AK3,K,cold_2,W,Cold,8,10,0.680666667
AC2,C,cold_2,W,Cold,8,10,0.647333333
AD8,D,cold_2,W,Cold,8,10,0.285333333
AG4,G,cold_2,W,Cold,8,10,0.410333333
AL1,L,cold_2,B,Cold,8,10,0.351
AQ6,Q,cold_2,B,Cold,8,10,0.317333333
AS5,S,cold_2,B,Cold,8,10,0.324333333
AT4,T,cold_2,B,Cold,8,10,0.441333333
AJ2,J,cold_3,B,Cold,8,10,0.385
AI4,I,cold_3,B,Cold,8,10,0.427666667
AF8,F,cold_3,B,Cold,8,10,0.426333333
AP1,P,cold_3,W,Cold,8,10,0.290666667
AC5,C,cold_3,W,Cold,8,10,0.616
AE2,E,cold_3,W,Cold,8,10,0.44
AG3,G,cold_3,W,Cold,8,10,0.361
AN2,N,cold_3,B,Cold,8,10,0.379666667
AR3,R,cold_3,B,Cold,8,10,0.378666667
AS2,S,cold_3,B,Cold,8,10,0.338