Date,Day,Flask_ID,Count_number,Cell_number,Cells_Per_mL
1/27/20,3,1,1,40,400000
1/27/20,3,1,2,30,300000
1/27/20,3,1,3,37,370000
1/27/20,3,2,1,45,450000
1/27/20,3,2,2,36,360000
1/27/20,3,2,3,35,350000
1/27/20,3,3,1,40,400000
1/27/20,3,3,2,37,370000
1/27/20,3,3,3,36,360000
1/29/20,5,1,1,48,480000
1/29/20,5,1,2,32,320000
1/29/20,5,1,3,46,460000
1/29/20,5,2,1,39,390000
1/29/20,5,2,2,42,420000
1/29/20,5,2,3,54,540000
1/29/20,5,3,1,46,460000
1/29/20,5,3,2,49,490000
1/29/20,5,3,3,44,440000
1/31/20,7,1,1,58,580000
1/31/20,7,1,2,51,510000
1/31/20,7,1,3,52,520000
1/31/20,7,2,1,53,530000
1/31/20,7,2,2,62,620000
1/31/20,7,2,3,55,550000
1/31/20,7,3,1,61,610000
1/31/20,7,3,2,64,640000
1/31/20,7,3,3,59,590000
2/3/20,10,1,1,68,680000
2/3/20,10,1,2,73,730000
2/3/20,10,1,3,73,730000
2/3/20,10,2,1,74,740000
2/3/20,10,2,2,68,680000
2/3/20,10,2,3,70,700000
2/3/20,10,3,1,68,680000
2/3/20,10,3,2,70,700000
2/3/20,10,3,3,68,680000
2/5/20,12,1,1,71,710000
2/5/20,12,1,2,64,640000
2/5/20,12,1,3,71,710000
2/5/20,12,2,1,66,660000
2/5/20,12,2,2,71,710000
2/5/20,12,2,3,73,730000
2/5/20,12,3,1,63,630000
2/5/20,12,3,2,65,650000
2/5/20,12,3,3,74,740000
2/7/20,14,1,1,43,430000
2/7/20,14,1,2,42,420000
2/7/20,14,1,3,38,380000
2/7/20,14,2,1,35,350000
2/7/20,14,2,2,36,360000
2/7/20,14,2,3,35,350000
2/7/20,14,3,1,37,370000
2/7/20,14,3,2,27,270000
2/7/20,14,3,3,32,320000
2/10/20,17,1,1,49,490000
2/10/20,17,1,2,49,490000
2/10/20,17,1,3,45,450000
2/10/20,17,2,1,46,460000
2/10/20,17,2,2,42,420000
2/10/20,17,2,3,52,520000
2/10/20,17,3,1,44,440000
2/10/20,17,3,2,51,510000
2/10/20,17,3,3,41,410000
2/12/20,19,1,1,59,590000
2/12/20,19,1,2,49,490000
2/12/20,19,1,3,57,570000
2/12/20,19,2,1,55,550000
2/12/20,19,2,2,54,540000
2/12/20,19,2,3,45,450000
2/12/20,19,3,1,46,460000
2/12/20,19,3,2,48,480000
2/12/20,19,3,3,53,530000
2/14/20,21,1,1,56,560000
2/14/20,21,1,2,55,550000
2/14/20,21,1,3,61,610000
2/14/20,21,2,1,55,550000
2/14/20,21,2,2,62,620000
2/14/20,21,2,3,53,530000
2/14/20,21,3,1,65,650000
2/14/20,21,3,2,55,550000
2/14/20,21,3,3,62,620000
2/18/20,25,1,1,45,450000
2/18/20,25,1,2,49,490000
2/18/20,25,1,3,47,470000
2/18/20,25,2,1,46,460000
2/18/20,25,2,2,49,490000
2/18/20,25,2,3,40,400000
2/18/20,25,3,1,43,430000
2/18/20,25,3,2,45,450000
2/18/20,25,3,3,49,490000