frag,B2-B2e,B2,B5a
CP1,3804,0,0
FH11,2871,0,0
FO2,5334,0,0
FA5,5860,0,0
HA6,8567,0,0
FP2,859,0,0
CA4,16607,0,0
CL6,8378,0,0
FM2,11674,0,0
HP3,11040,0,0
HH15,11902,0,0
HD6,13154,0,0
HI3,10752,0,0
FE10,9298,0,0
CM1,15015,0,0
FF8,4174,0,0
CJ13,19776,0,0
HR9,7948,0,0
HN6,2513,0,0
CD4,24445,0,0
FR8,13431,0,0
HM3,17438,0,0
HE3,17192,0,0
CF7,9583,0,0
CN4,12904,0,0
HF9,14099,0,0
CI1,28485,0,0
HL8,8464,0,0
CE11,7370,0,0
CR7,18574,0,0
FD5,4453,0,0
FI2,30847,0,0
HJ15,6642,0,0
FL7,16148,0,0
FJ14,4368,0,0
CH1,11905,0,0
HO5,1130,0,0
FN5,0,488,0
CO1,0,2120,303
DW,0,0,0